iter	Passed	Remaining
0	0	82
1	1	92
2	3	112
3	4	104
4	5	106
5	7	110
6	8	112
7	10	115
8	11	117
9	12	112
10	13	112
11	15	112
12	16	112
13	18	113
14	20	115
15	21	115
16	23	114
17	24	111
18	25	109
19	27	108
20	28	108
21	29	105
22	31	104
23	32	103
24	34	102
25	35	101
26	37	100
27	38	99
28	40	98
29	41	96
30	42	95
31	44	93
32	45	91
33	46	89
34	47	88
35	48	86
36	49	84
37	50	83
38	52	81
39	53	79
40	54	78
41	54	75
42	55	73
43	56	72
44	57	70
45	58	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	66	58
53	67	57
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	73	46
61	74	45
62	75	44
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	80	36
69	81	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	93	15
86	94	14
87	95	12
88	95	11
89	96	10
90	97	9
91	97	8
92	98	7
93	99	6
94	99	5
95	100	4
96	101	3
97	101	2
98	102	1
99	103	0
