iter	Passed	Remaining
0	0	791
1	1	722
2	2	750
3	3	752
4	3	767
5	4	760
6	5	737
7	5	719
8	6	714
9	7	715
10	7	711
11	8	704
12	9	696
13	9	690
14	10	683
15	11	677
16	11	672
17	12	666
18	12	663
19	13	661
20	14	659
21	14	657
22	15	653
23	16	650
24	16	647
25	17	648
26	18	650
27	18	651
28	19	651
29	20	650
30	20	652
31	21	652
32	22	649
33	22	646
34	23	644
35	24	645
36	24	643
37	25	641
38	25	639
39	26	639
40	27	637
41	27	635
42	28	634
43	29	633
44	29	632
45	30	631
46	31	630
47	31	629
48	32	631
49	33	631
50	34	633
51	34	632
52	35	632
53	36	631
54	36	630
55	37	628
56	37	627
57	38	625
58	39	624
59	39	623
60	40	621
61	41	620
62	41	618
63	42	616
64	42	615
65	43	615
66	44	614
67	44	613
68	45	612
69	45	610
70	46	610
71	47	609
72	48	613
73	49	614
74	49	614
75	50	613
76	51	612
77	51	611
78	52	609
79	52	608
80	53	607
81	54	606
82	54	601
83	55	601
84	55	602
85	56	600
86	57	600
87	57	599
88	58	598
89	59	598
90	59	596
91	60	596
92	61	595
93	61	595
94	62	595
95	63	595
96	63	595
97	64	594
98	65	593
99	65	592
100	66	591
101	67	591
102	67	589
103	68	588
104	68	588
105	69	587
106	70	587
107	71	589
108	72	588
109	72	590
110	73	589
111	74	588
112	74	587
113	75	587
114	76	587
115	77	588
116	77	587
117	78	588
118	79	589
119	80	590
120	81	591
121	81	589
122	82	589
123	83	589
124	84	589
125	84	588
126	85	586
127	85	585
128	86	584
129	87	582
130	87	581
131	88	579
132	88	578
133	89	577
134	90	576
135	90	577
136	91	577
137	92	577
138	93	577
139	93	576
140	94	577
141	95	574
142	95	573
143	96	572
144	96	571
145	97	570
146	98	569
147	98	567
148	99	566
149	99	565
150	100	564
151	100	563
152	101	561
153	102	560
154	102	559
155	103	557
156	103	556
157	104	555
158	105	556
159	106	556
160	106	555
161	107	555
162	108	554
163	108	553
164	109	552
165	109	551
166	110	550
167	110	549
168	111	548
169	112	547
170	112	546
171	113	545
172	113	544
173	114	543
174	114	541
175	115	540
176	116	539
177	116	538
178	117	537
179	117	536
180	118	535
181	119	535
182	119	535
183	120	534
184	121	534
185	122	534
186	122	533
187	123	532
188	123	531
189	124	530
190	125	529
191	125	528
192	126	527
193	126	526
194	127	525
195	127	524
196	128	523
197	129	522
198	129	521
199	130	521
200	130	520
201	131	519
202	132	520
203	133	521
204	134	520
205	134	520
206	135	519
207	136	518
208	136	517
209	137	516
210	137	515
211	138	514
212	139	513
213	139	512
214	140	511
215	140	510
216	141	509
217	141	508
218	142	507
219	142	506
220	143	505
221	144	505
222	144	504
223	145	503
224	146	503
225	146	503
226	147	502
227	148	503
228	149	503
229	150	503
230	151	502
231	151	502
232	152	502
233	153	501
234	153	501
235	154	500
236	155	499
237	155	498
238	156	497
239	156	496
240	157	495
241	157	494
242	158	493
